Source:,/home/astroelectronica/kicad/projects/AE01.12.42.100/pcb/AE01.12.42.100.sch,,,,
Date:,sáb 02 oct 2021 00:14:59 CEST,,,,
Tool:,Eeschema 5.1.10-88a1d61d58~88~ubuntu16.04.1,,,,
Component Count:,91,,,,
Ref,Value,Footprint,Datasheet,Manufacturer,Vendor
A1,Arduino_Nano_v2.x,Module:Arduino_Nano,~,,
BT1,CELL1,Battery:BatteryHolder_Keystone_2460_1xAA,~,,
BT2,CELL2,Battery:BatteryHolder_Keystone_2460_1xAA,~,,
BT3,CELL3,Battery:BatteryHolder_Keystone_2460_1xAA,~,,
BT4,CELL4,Battery:BatteryHolder_Keystone_2460_1xAA,~,,
C1,1uF,Capacitor_SMD:C_0805_2012Metric,~,,
C2,10uF,Capacitor_SMD:C_0805_2012Metric,~,,
C3,220pF,Capacitor_SMD:C_0805_2012Metric,~,,
C4,150pF,Capacitor_SMD:C_0805_2012Metric,~,,
C5,470pF,Capacitor_SMD:C_0805_2012Metric,~,,
C6,1200pF,Capacitor_SMD:C_0805_2012Metric,~,,
C7,2700pF,Capacitor_SMD:C_0805_2012Metric,~,,
C8,10nF,Capacitor_SMD:C_0805_2012Metric,~,,
C9,10nF,Capacitor_SMD:C_0805_2012Metric,~,,
C10,10nF,Capacitor_SMD:C_0805_2012Metric,~,,
C11,10nF,Capacitor_SMD:C_0805_2012Metric,~,,
C12,10nF,Capacitor_SMD:C_0805_2012Metric,~,,
C13,10nF,Capacitor_SMD:C_0805_2012Metric,~,,
CONN1,NTC,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",~,,
CONN2,VIN,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",~,,
CONN3,TIMER_PROG_EXT,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",~,,
CONN4,SYST_LOAD,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",~,,
CONN5,EXT_PNP,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",~,,
D1,MBRM120LT3,Diode_SMD:D_Powermite_KA,~,,
D2,B220A,Diode_SMD:D_SMA,~,,
DS1,WC1602A,Display:WC1602A,~,,
FID1,Fiducial,Fiducial:Fiducial_1.5mm_Mask3mm,~,,
FID2,Fiducial,Fiducial:Fiducial_1.5mm_Mask3mm,~,,
FID3,Fiducial,Fiducial:Fiducial_1.5mm_Mask3mm,~,,
H1,M3_DIN965,MountingHole:MountingHole_3.2mm_M3_DIN965,~,,
H2,M3_DIN965,MountingHole:MountingHole_3.2mm_M3_DIN965,~,,
H3,M3_DIN965,MountingHole:MountingHole_3.2mm_M3_DIN965,~,,
H4,M3_DIN965,MountingHole:MountingHole_3.2mm_M3_DIN965,~,,
JP1,CHRG_CURRENT,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~,,
JP2,RECHARGE,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical,~,,
JP3,NTC,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,,
JP4,SEL1,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,,
